courseno,Course prefix,Course code,Course name,Program,Description,Credit hours,Lecture hours,Tutorial hours,Note(s),Credit restriction(s),Prerequisite(s),Laboratory hours,Experiential learning,Recommended,Cross-listed,Other hours,Prerequisite(s) with concurrency,Corequisite(s),Fee
910,MECE,4000U,Special Topics in Mechanical Engineering,Mechanical Engineering,Contemporary topics at the advanced undergraduate level. Faculty presents advanced elective topics not included in the established curriculum.,3,3,,,,Permission of the Instructor,,,,,,,,
911,MECE,4151U,Solar Energy,Mechanical Engineering,"Solar radiation measurements and predictions. Radiative heat transfer aspects. Classification of solar energy options. Solar thermal applications, including heating, cooling, air conditioning, electricity and fresh water production. Solar collectors and absorbing materials and their spectral characteristics. Concentrated solar panels. Solar electrical applications. Basics, materials and operational details on photovoltaics/solar cells. Solar energy conversion systems for various applications. Energy storage systems, including latent (phase change materials, molten salts) and sensible (hot water, compressed air, rock bed, etc.) options. Integrated solar energy systems for more useful outputs. Solar fuels. Thermodynamic analysis and performance assessments through energy and exergy approaches.",3,3,,,,MECE 3930U and MECE 3260U,2 (biweekly),,,,,,,
912,MECE,4153U,Wind and Hydro Energy,Mechanical Engineering,"Turbomachinery fundamentals and analysis, including: angular momentum, pumps, fans, blowers, hydraulic turbines, propellers, and wind turbines. Wind characteristics, location, and wind farm design considerations. Aerodynamics of wind turbines and blade shape. Analysis of horizontal and vertical axis wind turbines. Wind turbine materials, components, and design. Design of dams and reservoirs, and use of rivers and tidal flows. Storage systems including pumped storage. Electrical aspects of wind and hydro energy generation systems. Integration, applications, and environmental impact of wind and hydro energy systems. Implementation of course principles in a design and construction project.",3,3,1,,,MECE 2860U  and MECE 3410U and MECE 3260U,,,,,,,,
913,MECE,4210U,Advanced Solid Mechanics and Stress Analysis,Mechanical Engineering,"Three-dimensional stress and strain analysis; strain energy methods for deflection; asymmetric and curved beams; bending, torsion and shear centers; beams on elastic foundations; thick cylinders; buckling and elastic stability; flat plates.",3,3,1,,,MECE 3420U,2 (biweekly),,,,,,,
914,MECE,4250U,Advanced Materials Engineering,Mechanical Engineering,"Methodology of materials selection; evaluation of property data; materials testing; tensile properties, hardness, impact properties, fatigue, creep; failure and modes of fracture; interrelationships of structure, properties and processing; structural modifications in metals, ceramics and composite materials; strengthening mechanisms; heat treatment; processing and applications of engineering materials; introduction to electron microscopy, x-ray diffraction, and mass spectrometry.",3,3,1,,,MANE 2220U and MECE 2420U,,,,,,,,
915,MECE,4290U,Finite Element Methods,Mechanical Engineering,"This course covers the theoretical and computational principles of the finite element method, including geometrical modelling, materials modelling, and discrete element formulation of flexible structures (bars, beams, frames, plates and shells). An introduction to nonlinear finite element analysis, modelling, errors and accuracy, and assembly of global matrices will be addressed. Students will have the opportunity to utilize commercially available software to solve various engineering problems. They will obtain experience with mesh generation, material property specifications, load applications, boundary condition applications, solution methods and interpretation of results. Applications will include 2-D and 3-D stress analysis and steady-state thermo-fluid applications.",3,3,2,,,MATH 2070U and MECE 2310U and MECE 2420U,,,,,,,,
916,MECE,4320U,Advanced Mechatronics,Mechanical Engineering,"The focus of this course is to provide the tools required to design, model, analyze and control mechatronics systems. Modelling of various system components into a unified approach and tools for the simulation of the performance of these systems; characteristics of typical mechatronics systems in terms of their impacts on enhancement of performance, speed of operation, and physical size; applications of mechatronics to robotics and automation industry, and other intelligent systems.",3,3,,,,ELEE 3330U and MECE 3390U and ELEE 4350U,3,,,,,,,
917,MECE,4410U,Fossil Fuel Energy Conversion,Mechanical Engineering,"Electrical systems loads, peaks, reliability. Types of fossil fuelled power plants. Complex Rankine and Brayton cycles. Combined-cycle power plants. Cogeneration and trigeneration. Efficiencies, irreversibilities and losses. Steam supply systems: coal firing systems; steam generator types; steam plant efficiencies; heat transfer and thermal transport in fossil fuel fired steam generators. Steam turbines: impulse and reaction blading; mechanical design of turbine components and operational considerations; efficiencies. Gas turbines: gas path design; heat balance and efficiency determination; performance analysis of actual power plant turbines; design aspects. Fans, centrifugal and axial-flow compressors, and their design. Auxiliary power plant equipment: heat exchangers, fuel preparation, water treatment, cooling equipment.",3,3,1,,,MECE 3260U,2 (biweekly),,,,,,,
918,MECE,4430U,Sustainable and Alternative Energy Technologies,Mechanical Engineering,"Descriptions of systems and design issues and parameters, including performance, operating characteristics, reliability. Small-scale hydraulic energy. Tidal and wave energy. Solar energy systems, including photovoltaics and thermal systems. Wind energy systems. Biomass energy. District energy. Hydrogen energy systems, including production, storage, transport and utilization technologies. Fuel cells: fundamentals such as fuel cell thermodynamics, electrode kinetics; and types, including proton exchange membrane and solid oxide fuel cells. Energy storage, including thermal, compressed air and battery storage. Geothermal energy systems. Magnetohydrodynamics, thermoetrics, thermionics. Future directions.",3,3,,,,MECE 4240U,2 (biweekly),,,,,,,
919,MECE,4450U,Thermal Environmental Engineering,Mechanical Engineering,"Heating, ventilating, air conditioning and refrigeration. Psychrometrics and psychrometric processes. Sensible heating and cooling, cooling and dehumidification, mixing and humidification. Ventilation and room air distribution. Human comfort. Indoor air quality. Refrigeration and refrigeration systems. Design of air conditioning and heating systems. Equipment selection. Duct and fan design. Pump and piping design. Energy management in buildings.",3,3,1,,,MECE 3230U,2 (biweekly),,,,,,,
920,METE,2010U,Circuits and Electronics,Mechatronics Engineering,"The course introduces the fundamental behavior of major circuit elements including resistors, independent and dependent sources, nonlinear resistors and diode, switches and MOS transistors, operational amplifiers and energy storage elements. The topics covered includes resistive circuit analysis, equivalent-circuit theorems, dynamics of first- and second-order networks, alternating currents and resistive circuits, basic concepts of signal and systems, operational amplifiers and applications, p-n junction, diode and applications and MOSFET amplifiers.",3,3,1.5,,,MATH 1020U  and PHY 1020U and MATH 1850U,2 (bi-weekly),,,,,MATH 2860U,,
921,METE,2020U,Circuit Design for Mechatronics,Mechatronics Engineering,"This course presents analysis of complex circuits and application of circuit principles to design circuits for mechatronics engineering systems. Topics include mechatronics design applications of circuit principles; AC steady-state analysis, AC power, transformer, three-phase circuits, DC/AC machines, two port networks, the Laplace transform, Fourier series and Fourier transform, frequency response analysis, passive and active filter design (low- and high-pass filters, bandpass and band-reject filters); design in the time and frequency domains, Interface circuits for mechanical systems, sensors, and instrumentation.",3,3,1.5,,,METE 2010U  and MATH 2860U,2 (bi-weekly),,,,,,,
922,METE,2030U,Electronics Applications in Mechatronics,Mechatronics Engineering,"This course present analysis and design methods for basic analog and digital electronic circuits and devices using analytical, computer and laboratory tools. The discussion focuses on application of electronic circuits to instrumentation and mechatronic systems. The topics covered includes bipolar junction transistors (BJT), circuit models and applications, field-effect transistors, circuit model and applications, feedback amplifier analysis and stability, digital logic concept, logic gate, logic electronic circuits, integrated circuit biasing techniques, digital-to-analog and analog-to-digital converters and the structure of measurement chain.",3,3,1.5,,,METE 2010U,2 (bi-weekly),,,,,,,
923,METE,3100U,Actuators and Power Electronics,Mechatronics Engineering,"This course covers the fundamentals of AC and DC actuators, the necessary power electronics to interface with them, along with their basic control. Topics include: AC synchronous and induction motors; DC servo and stepper motors, power electronics, including H-bridges, PWM control, interfacing, power amplifiers, and transformers; and an introduction to speed and torque control of motors.",3,3,,,,MECE 3350U and (ELEE 2250U or METE 2030U ),2 (biweekly),,,,,,,
924,METE,3200U,Sensors and Instrumentation,Mechatronics Engineering,"This course presents methods to measure physical quantities such as position, velocity, acceleration, force, strain, pressure, temperature, and fluid flow. Topics include the selection and application of sensors; sensor models; calibration; dynamic response of measurement systems; signal conditioning; methods of data acquisition and recording; and the design of measurement systems.",3,3,,,,ELEE 3230U or METE 2020U,2 (biweekly),,,,,,,
925,METE,3350U,Microprocessors and Digital Systems,Mechatronics Engineering,"Introduction to digital systems: Boolean algebra; truth tables; combinational logic; logic gates; sequential logic; flipflops, counters, memory circuits; and logic circuit analysis. Basic structure of a computer; assembly-language and high level language programming; machine language and step-by-step instruction execution and debugging; digital I/O; analog to digital conversion; interrupt handling and flow from reset, operating systems; hardware implementation of an addressing map; bus interface and memory timing; state-of-the art microprocessors: features and characteristics.",3,3,,,,SOFE 2710U,2 (biweekly),,,,,,,
926,METE,4000U,Special Topics in Mechatronics Engineering,Mechatronics Engineering,Contemporary topics at the advanced undergraduate level. Faculty presents advanced elective topics not included in the established curriculum.,3,3,,,,Permission of the Instructor,,,,,,,,
927,METE,4100U,Mechatronics Design,Mechatronics Engineering,"Students will learn how to design mechatronic systems through a series of open-ended design projects in a hands-on learning environment. The focus of this course is to provide the tools required to design successful mechatronic systems. Additional topics include: modelling, analyses, and control of mechatronic systems. Numerous case studies will be discussed to highlight the challenges of designing successful mechatronic systems.",3,3,,,,METE 3100U and METE 3200U and METE 3350U,2,,,,,,,
928,METE,4200U,Industrial Automation,Mechatronics Engineering,"This course covers the fundamentals of Programmable Logic Controllers (PLCs). Students will learn the basics of PLCs, including how PLCs function, how to program PLCs, and how to design automated systems that are controlled by PLCs. In addition, students will learn the fundamentals of pneumatics and hydraulics including the design and control of systems that incorporate pneumatic and/or hydraulic components.",3,3,,,,MANE 4280U,2 (biweekly),,,,,,,
929,METE,4300U,Introduction to Mobile Robotics,Mechatronics Engineering,"Students will learn the basics of mobile robotics through a series of open-ended projects in a hands-on learning environment. Topics covered, include: locomotion; mobile robot kinematics; perception; mapping and localization; and path planning, obstacle avoidance, and navigation.",3,3,,,,MANE 4280U and METE 4100U,3,,,,,,,
930,METE,4350U,Linear State‐Space Control Systems,Mechatronics Engineering,"This course will cover linear state space control systems. Specific topics include: state space fundamentals, system controllability, system observability, minimum realizations for Single-Input/Single-Output (SISO) and Multiple-Input/Multiple-Output (MIMO) control systems, stability, design of linear state feedback control laws, observers and observes based compensators, and introduction to optimal control.",3,3,,,,MECE 3350U,,Yes,,,,,,
931,METE,4400U,Introduction to Real-Time Embedded Systems,Mechatronics Engineering,"This course focuses on the design and implementation of real-time, embedded, microprocessor-based systems.  Topics include: embedded system design; instruction sets for microprocessor architecture; I/O; interrupts, hardware and software of embedded systems; program design and analysis; practical issues; multi-tasking operating systems; scheduling; and system design techniques.",3,3,,,,METE 3350U,2 (biweekly),,,,,,,
932,METE,4500U,Machine Vision for Robotic Systems,Mechatronics Engineering,"This course investigates the fundamentals of applying machine vision to solving problems related to the kinematics of robotic mechanical systems. The course provides an introduction to the fundamentals of machine vision such as image formation, binary morphology, linear filtering, and signal processing. This is followed by the fundamentals of imaging geometry including projective geometry, approximation theory, and fitting geometric objects to point clouds. The aim of the course is to apply the techniques to be learned in order to use digital cameras as high precision measurement devices. Practical applications in robotics are investigated such as robot calibration, pose estimation, and trajectory tracking.",3,3,,,,MANE 4280U,,,,,,,,
933,MLSC,1010U,Introduction to Medical Laboratory Practice,Medical Laboratory Science,"This course introduces the student to the profession of Medical Laboratory Science, its history, inter-relationships to other health professionals, relevant professional associations and regulatory bodies. The scope and role of the Medical Laboratory Technologist within the core disciplines (biochemistry, hematology, blood transfusion, microbiology, and histology) and the advanced disciplines (immunology, cytology, cytogenetics, and molecular diagnostics) will be examined. The fundamental knowledge, skills and attitudes required of a student progressing on to MLS discipline-specific courses will also be introduced. Safety, specimen collection, basic instrumentation, solution preparation, staining, microscopy and quality control provide a foundation for the role of the medical laboratory technologist.",3,3,,,,CHEM 1020U and HLSC 1201U and (HLSC 2110U or MLSC 1110U ),2,,,,,,,
934,MLSC,1110U,Foundations in Clinical Biochemistry,Medical Laboratory Science,"A comprehensive study of human biochemistry which introduces major biomolecules and biopolymers, metabolic pathways, mechanisms of control, and gene function. This course will present how the basic principles of biochemistry underlie the normal physiological functions in humans. Topics will include nucleic acids, protein structure and function, enzymes, membranes, and lipid, nitrogen, and carbohydrate metabolism. This course will better prepare Medical Laboratory Sciences students to make informed decisions by providing them with the foundational biochemical knowledge underlying human health. The lecture component will be structured towards introductory human biochemistry. Tutorial topics for Medical Laboratory Sciences students will emphasize relevant clinical applications. A foundational knowledge of biochemistry will serve as the intellectual basis for advanced medical laboratory science courses. Students take tutorials that are specific for MLSc students, lectures are cross-listed to HLSC 2110U .",3,3,1.5 bi-weekly,HLSC 2110U - tutorials are specific to MLSC,HLSC 2110U - tutorials are specific to MLSC,,,,,HLSC 2110U,,,,
935,MLSC,2111U,Clinical Biochemistry I,Medical Laboratory Science,"Clinical Biochemistry I examines the theory, application and clinical significance of basic analytical procedures in the clinical chemistry laboratory. It encompasses basic clinical and analytical aspects of enzymes, proteins, lipids, carbohydrates, non‐protein nitrogenous substances, body fluids and urinalysis as well as common techniques and advanced principles of photometry, automation and osmometry. Manual, semi-automated, and automated analyses are used to enforce basic laboratory practices of calibration, sample handling, result reporting, along with advanced quality control evaluation.",3,3,,,,MATH 1880U and MLSC 1010U,3,,,,,,HLSC 2461U,
936,MLSC,2121U,Clinical Hematology I,Medical Laboratory Science,"This course introduces fundamental knowledge and techniques used in the study of laboratory hematology. Topics discussed include normal composition, production, metabolism, function and morphology of blood cells and hematopoietic organs. Current manual and automated laboratory procedures relating to blood cell structure, function and morphology are examined and applied and their significance in the diagnosis of blood disorders is emphasized. This course has multiple sections and delivery modes. Please check MyOntarioTech for further details.",3,3,,,,MATH 1880U and MLSC 1010U,3,,,,,,HLSC 2461U,
937,MLSC,2130U,Foundations in Clinical Microbiology and Immunology,Medical Laboratory Science,"This course introduces students to the microbial world, and will serve as a foundation for Clinical Microbiology courses or for entry into healthcare related programs. Students will learn about the different types of microorganisms, with an emphasis on bacteria, and will come to appreciate the importance of microorganisms in our daily lives. This course will introduce students to the clinical relevance of microorganisms with emphasis on basic principles of identification, culturing, controlling, and pathogenesis of bacteria. The course also includes basic principles of immunology with emphasis on immunological techniques, which will serve as foundation for Clinical Microbiology, Clinical Biochemistry, Clinical Hematology and Transfusion Science courses. This course has multiple sections and delivery modes. Please check MyOntarioTech for further details.",3,3,,,BIOL 2060U,HLSC 1201U,,,,,,,,
938,MLSC,2131U,Clinical Microbiology I,Medical Laboratory Science,"This course provides fundamental microbiology and immunology knowledge with emphasis on prokaryotic cell structure, function and genetics, modes of action of antimicrobial agents and transfer of antimicrobial resistance; the immune response; etiology, pathogenesis, epidemiology, treatment and control of important infectious disease in humans. Laboratory exercises develop fundamental skills in aseptic technique, microscopy, pure culture study, antimicrobial susceptibility testing, and the isolation and identification of pathogenic microorganisms. This course has multiple sections and delivery modes. Please check MyOntarioTech for further details.",3,3,,,,MLSC 1010U and MLSC 2130U .,6,,,,,,HLSC 2461U,
939,MLSC,2140U,Medical Laboratory Science (MLS) Bridge Course – Biotechnology to MLS,Medical Laboratory Science,"The intent of this bridging course is to set the university’s expectations for scholarly writing and to bring a health science and medical diagnostic perspective to foundational knowledge in the areas of microbiology and biochemistry. This is in preparation for the year 2, winter semester, Medical Laboratory Science clinically oriented courses.",3,,,,,"Advanced diploma in Biotechnology from Durham or Fleming College, GPA of 3 and the completion of a comprehensive course(s) in human anatomy and physiology.",,,,,,,"MLSC 1010U , HLSC 2460U",
940,MLSC,3111U,Clinical Biochemistry II,Medical Laboratory Science,"Clinical Biochemistry II builds on Clinical Biochemistry I to encourage an enhanced appreciation of the clinical and analytical aspects of biochemical diagnostic procedures related to major physiological systems, organs, and processes including homeostatic systems, endocrinology, renal, cardiac, gastric, pancreatic, and liver functions. Clinical significance and methods of analysis include special biochemistry analytes such as electrolytes and blood gases, iron studies, hormones and metabolites, cancer markers, therapeutic drugs and toxicology, and trace elements. It will provide advanced knowledge of techniques used in a clinical chemistry laboratory including electrochemistry, chromatography and mass spectrometry, electrophoresis, and immunochemistry. Automated and specialized laboratory procedures are performed along with advanced calibration techniques, and internal and external quality control evaluation. This course has multiple sections and delivery modes. Please check MyOntarioTech for further details.",3,3,,,,HLSC 2461U and MLSC 2111U,3,,,,,,,
941,MLSC,3121U,Clinical Hematology II,Medical Laboratory Science,"Clinical Hematology II expands on hematology theory and practice with an emphasis on important blood disorders involving erythrocytes, leukocytes and platelets. Morphology, investigative procedures and laboratory findings related to blood disorders will be examined. Current automated laboratory procedures relating to blood cell structure, function and morphology are examined and applied and their significance in the diagnosis of blood disorders is emphasized. The principles of hemostasis theory, including related bleeding disorders will be studied. Common laboratory techniques used in the diagnosis of these disorders will be performed. Correlation with clinical findings will be discussed, along with introducing the role of the transfusion laboratory in the provision of blood products to treat bleeding disorders. This course has multiple sections and delivery modes. Please check MyOntarioTech for further details.",3,3,,,,HLSC 2461U and MLSC 2121U,3,,,,,,,
942,MLSC,3131U,Clinical Microbiology II,Medical Laboratory Science,"The Clinical Microbiology lectures and laboratories will address the theory and methodologies involved in the laboratory diagnosis of micro-organism infections in humans. Included are discussions and/or practical activities related to specimen collection and processing, culture and sensitivity procedures, interpretation, reporting, infection control, and the emerging global significance of infectious disease. This course builds on the general microbiology knowledge gained in previous coursework, MLSC 2131U – Clinical Microbiology I . This course focuses on the clinical microbiology microorganisms and applications required for gaining competence in professional practice. Students will have an opportunity to apply their theory in hands-on laboratory sessions using simulated patient samples for culture and sensitivity. This course has multiple sections and delivery modes. Please check MyOntarioTech for further details.",3,3,,,,HLSC 2461U and MLSC 2131U,7,,,,,,,
943,MLSC,3141U,Molecular Techniques and Complementary Technologies,Medical Laboratory Science,"This course introduces students to the molecular techniques and complementary technologies employed in research and diagnostic clinical laboratories. Topics will include the theory and application of relevant molecular based assays, quality control, interpretation of results and trouble shooting. There will also be an emphasis on how the implementation of these assays is enhancing the diagnosis, treatment and monitoring of patients, and advancing research approaches to important scientific questions. Laboratory exercises will be carried out predominantly in a wet laboratory, complemented by web-based exercises. Those students intending to apply for a laboratory based research practicum (HLSC 4998U , HLSC 4999U ) must successfully complete this course.",3,3,,,,MLSC 3131U and MLSC 3230U or HLSC 2465U with a grade of at least B and 60 credit hours,3 (biweekly),,,,,,,
944,MLSC,3200U,Transfusion Science I,Medical Laboratory Science,"This course introduces the theoretical concepts and immunological principles fundamental to testing in the transfusion laboratory. The material covered will form the foundation for MLSC 3220U – Transfusion Science II in the following semester. Students will learn the basic concepts of blood groups and serological testings, the protocol for the collection, storage, preparation and testing of donor blood. Current blood bank testing technologies and automation, quality management and compliance will be covered in this course. This course has multiple sections and delivery modes. Please check MyOntarioTech for further details.",3,3,,,MLSC 3221U,MLSC 2121U,3,,,,,,,
945,MLSC,3210U,Effective Leadership and Quality Management in the Clinical Laboratory,Medical Laboratory Science,"This course focuses on specific knowledge and skills that facilitate taking on an informal or formal leadership role in the practice of medical laboratory science. The laws and policies that govern the Canadian health care system will be introduced in the context of the determinants of health and the impact on laboratory systems. This will be followed by investigation of how the practice of professionalism, leadership, effective communication, ethics and ethical decision-making apply to medical laboratory science. Students will be exposed to quality management tools including laboratory accreditation. This course has multiple sections and delivery modes. Please check MyOntarioTech for further details.",3,3,,,,MLSC 2111U,,,,,,,,
946,MLSC,3220U,Transfusion Science II,Medical Laboratory Science,"This course focuses on the specific knowledge and skills needed for practice in a blood transfusion laboratory, including legal and regulatory requirements related to the Canadian Society of Transfusion Medicine (CSTM). Students will learn the detection and identification of antibodies, and pre‐transfusion testing. Protocols for transfusion therapy and adverse effects of blood transfusion will be covered. Some clinical conditions such as hemolytic disease of the fetus and newborn, autoimmune hemolytic anemia, and transfusion‐transmitted disease will be discussed. The HLA system and its role in transplantation, transfusion, and immunogenetics will be covered in this course. ",3,3,,,,MLSC 3200U,3,,,,,,,
947,MLSC,3230U,Microanatomy and Histotechnology,Medical Laboratory Science,"The microanatomy component of this course emphasizes the morphological identification of the four basic tissues and the normal arrangement of these tissues in the body systems; an essential prerequisite to the practice of both histotechnology and histopathology. This course also introduces the knowledge and skills associated with histotechnology allowing students to prepare tissue samples for microscopic screening and diagnosis. The specific topics included in the Histotechnology portion of the course include tissue grossing, fixation, processing, embedding and microtomy. This course has multiple sections and delivery modes. Please check MyOntarioTech for further details.",3,3,,,,HLSC 2461U and MLSC 1010U and MLSC 2130U,3,,,,,,,
948,MLSC,3231U,Advanced Histotechnology,Medical Laboratory Science,"Advanced Histotechnology builds upon the theory and skills learned in MLSC 3230U Microanatomy and Histotechnology. Students will enhance their skills in embedding and microtomy. The theory of routine and special stains will be introduced and the laboratory sessions will provide students with the opportunity to perform various staining methodologies. Tissue elements to be demonstrated include, but are not limited to; nuclear and cytoplasmic, various connective tissues, amyloid and lipids. Differentiation of carbohydrate classes and identification of pigments, minerals and microorganisms in tissue will also be performed. The principles and application of specific molecular diagnostic tests will be introduced. Quality control and quality management practices in the Histopathology laboratory will be emphasized. This course has multiple sections and delivery modes. Please check MyOntarioTech for further details.",3,3,,,,MLSC 3230U,3,,,,,,,
949,MLSC,3300U,Simulated Clinical Practicum,Medical Laboratory Science,"This simulated practicum experience takes place at the university. Students work on multiple simulated clinical specimens that are related to specific patient histories. Students are expected to assess the laboratory results produced and correlate this information to the patient histories and further case study information in order to make recommendations for further testing, monitoring and/or intervention. The emphasis is on clinical reasoning and clinical judgment skills. This course also provides an opportunity for students to gain further experience on a variety of instrumentation. The intended outcome of this course is to enhance the readiness of students to enter the next phase of the clinical practicum.",3,,,,,HLSC 2461U and MLSC 3111U and MLSC 3121U and MLSC 3131U and MLSC 3200U and MLSC 3230U,,,,,,,,
950,MLSC,4111U,Clinical Biochemistry III,Medical Laboratory Science,"The Biochemistry laboratory is one of the five major laboratory rotations in which students spend time during the practicum semesters. During this rotation, students participate in the testing, documentation, interpretation, and troubleshooting associated with performing analyses using the site’s principle analyzers and with performing biochemical and microscopic procedures for random and timed urine samples. This includes the maintenance and appropriate preparation, use, and storage of calibrators and quality control material. Depending on the site, students will have the opportunity to perform analyses using any of the following methodologies; electrophoresis, chromatography, osmometry, immunoassay, POCT and molecular genetics. Throughout this rotation quality management and professional practices are emphasized. Students registered in MLSC 4111U must register in MLSC 4112U to receive a grade.",1.5,,,,,MLSC 3300U,,Yes,,,,,MLSC 4400U,
951,MLSC,4112U,Clinical Biochemistry IV,Medical Laboratory Science,This course is a continuation of MLSC 4111U . Students are expected to take this course immediately after MLSC 4111U .,1.5,,,,,MLSC 4111U,,,,,,,MLSC 4401U,
952,MLSC,4121U,Clinical Hematology III,Medical Laboratory Science,"The Hematology laboratory is one of the five major laboratory rotations in which students spend time during the practicum semesters. During this rotation, students participate in the testing, documentation, interpretation and reporting associated with processing hematology specimens for analysis, operating and maintaining cell counters, interpreting complete blood counts and reticulocyte results, performing routine hemostasis testing, completing morphology reports on white and red blood cells and platelets, and preparing and analyzing body fluids. Throughout this rotation quality management and professional practices are emphasized. Students registered in MLSC 4121U must register in MLSC 4122U to receive a grade.",1.5,,,,,MLSC 3300U,,,,,,,MLSC 4400U,
953,MLSC,4122U,Clinical Hematology IV,Medical Laboratory Science,This course is a continuation of MLSC 4121U . Students are expected to take this course immediately after MLSC 4121U .,1.5,,,,,MLSC 4121U,,,,,,,MLSC 4401U,
954,MLSC,4131U,Clinical Microbiology III,Medical Laboratory Science,"The Microbiology laboratory is one of the five major laboratory rotations in which students spend time during the practicum semesters. During this rotation, students participate in the testing, interpretation, documentation, and reporting associated with the identification and antimicrobial susceptibility testing of pathogens isolated from blood cultures, gastrointestinal, genital, respiratory and urinary tract specimens, wounds, tissues, CSF and other fluids. Students also process and interpret cultures from antibiotic resistant organisms and stain and interpret direct Gram smears. Throughout this rotation quality management and professional practices are emphasized. Students registered in MLSC 4131U must register in MLSC 4132U to receive a grade.",1.5,,,,,MLSC 3141U and MLSC 3300U,,,,,,,MLSC 4400U,
955,MLSC,4132U,Clinical Microbiology IV,Medical Laboratory Science,This course is a continuation of MLSC 4131U . Students are expected to take this course immediately after MLSC 4131U .,1.5,,,,,MLSC 4131U,,,,,,,MLSC 4401U,
956,MLSC,4210U,Professional Practice in the Clinical Laboratory I,Medical Laboratory Science,"Professional conduct is an essential component of the practice of Medical Laboratory Science. The behaviours associated with professional conduct are outlined in the national competency profile of the Canadian Society for Medical Laboratory Science (CSMLS), which form the basis of the behaviour expectations in this course. The goal is for students to consistently meet, by the end of the practicum, the entry to practice standards as stated in the CSMLS Code of Professional Conduct and the Code of Ethics of the College of Medical Laboratory Technologists of Ontario. Students registered in MLSC 4210U must register in MLSC 4211U . ",1.5,,,,,MLSC 3300U,,,,,,,MLSC 4400U,
957,MLSC,4211U,Professional Practice in the Clinical Laboratory II,Medical Laboratory Science,This course is a continuation of MLSC 4210U . Students are expected to take this course immediately after MLSC 4210U . Students must also participate in a national certification examination review seminar and successfully complete a comprehensive theory examination.,1.5,,,,,MLSC 4210U,,,,,,,MLSC 4401U,
958,MLSC,4220U,Transfusion Science III,Medical Laboratory Science,"The Transfusion laboratory is one of the five major laboratory rotations in which students spend time during the practicum semesters. During this rotation students participate in the testing, documentation, interpretation and reporting associated with the preparation of specimens for analysis, pre-transfusion testing, antibody identification, blood product management, investigation of transfusion reactions, and fetal-maternal and neonatal serological testing. Throughout this rotation quality management and professional practices are emphasized. Students registered in MLSC 4220U must register in MLSC 4221U to receive a grade.",1.5,,,,,MLSC 3220U and MLSC 3300U,,,,,,,MLSC 4400U,
959,MLSC,4221U,Transfusion Science IV,Medical Laboratory Science,This course is a continuation of MLSC 4220U . Students are expected to take this course immediately after MLSC 4220U .,1.5,,,,,MLSC 4220U,,,,,,,MLSC 4401U,
960,MLSC,4231U,Histopathology I,Medical Laboratory Science,"The Histopathology laboratory is one of the five major laboratory rotations in which students spend time during the practicum semesters. During this rotation students participate in the testing, documentation, interpretation and reporting associated in the processing of specimens for analysis, including accessioning, grossing, fixation, decalcification, embedding, microtomy, H&E staining and numerous special staining procedures depending on the tissue components that need to be demonstrated. The ultimate goal is the production of diagnostic quality slides. Throughout this rotation quality management and professional practices are emphasized. Students registered in this course must register in MLSC 4232U to receive a grade.",1.5,,,,,MLSC 3231U and MLSC 3300U,,,,,,,MLSC 4400U,
961,MLSC,4232U,Histopathology II,Medical Laboratory Science,This course is a continuation of MLSC 4231U . Students are expected to register in this course immediately after MLSC 4231U .,1.5,,,,,MLSC 4231U,,,,,,,MLSC 4401U,
962,MLSC,4400U,Clinical Project I,Medical Laboratory Science,"The first half of this two-semester course presents the opportunity for students to complete an extensive literature review related to a current topic in health care. Students also work with their clinical coordinator and clinical project mentor to establish the topic and methodology to be used to complete the clinical project in the second semester course, MLSC 4401U . Students registered in this course must register in MLSC 4401U to receive a grade.",3,,,,,HLSC 3910U,,,,,,,"MLSC 4111U , MLSC 4121U , MLSC 4131U , MLSC 4210U , MLSC 4220U , MLSC 4231U",
963,MLSC,4401U,Clinical Project II,Medical Laboratory Science,"This is a continuation of MLSC 4400U . Students work with their clinical project mentor to complete the project, create a poster and participate in opportunities to present their work. Students are expected to take this course immediately after MLSC 4400U .",3,,,,,MLSC 4400U,,,,,,,"MLSC 4112U , MLSC 4122U , MLSC 4132U , MLSC 4211U , MLSC 4221U , MLSC 4232U",
964,NSCI,2400U,Introduction to Movement Neuroscience,Neuroscience,"This course is designed to develop and extend basic concepts of the functional anatomy of the human nervous system into a broader comprehension of the neuroanatomical, neurophysiological, and cognitive‐behavioral approaches prevalent within human movement and neuroscience. This is a foundation course that sets out to establish the core principles for Stage 3 comprehension and eventual graduate-level study of the Human Motor System.",3,3,1,Must be registered in Integrative Neuroscience Program.,KINE 1110U and HLSC 2400U,BIOL 2010U,,,,KINE 1110U,,,,
965,NSCI,3410U,Motor Control and Learning,Neuroscience,"This course develops a critical approach to the understanding of human movement. It will expand on the principles of applied neuroscience that were established in NSCI 2400U . The course will examine the neurological, physiological, psychological and behavioural principles underlying human motor control and motor learning. Specific topics covered will include classification and measurement of motor performance, the role of sensory processes, memory and attention. Applications for clinical and coaching professions will be covered by examining proper delivery of feedback and the structure of practice. It is intended that this course will establish a sound foundation for post-graduate study in clinical disciplines and care interventions used in movement rehabilitation.",3,3,,,KINE 2110U  and HLSC 3410U,NSCI 2400U,2,,,KINE 2110U,,,,
